;price;brand;model;year;mileage;state;color_simple;condition_simple
640;25300.0;chevrolet;1500;2017;40878.0;wisconsin;;Less than one day left
641;21500.0;chevrolet;1500;2016;20270.0;new jersey;silver;3 days left
645;62000.0;chevrolet;corvette;2016;19403.0;illinois;white;Less than one day left
646;46000.0;chevrolet;corvette;2016;4445.0;illinois;black;2 days left
647;9000.0;chevrolet;malibu;2016;67527.0;wisconsin;gray;Less than one day left
652;47400.0;chevrolet;3500;2016;39624.0;wisconsin;red;Less than one day left
654;17100.0;chevrolet;trax;2016;19659.0;wisconsin;white;2 days left
657;22000.0;chevrolet;trax;2020;179.0;california;gray;Less than one day left
658;35000.0;chevrolet;1500;2019;5523.0;california;;2 days left
659;16500.0;chevrolet;equinox;2019;29841.0;california;silver;Less than one day left
660;35300.0;chevrolet;1500;2019;8516.0;california;silver;Less than one day left
661;26900.0;chevrolet;traverse;2018;42941.0;missouri;black;Less than one day left
662;11600.0;chevrolet;trax;2017;27498.0;california;black;Less than one day left
663;28100.0;chevrolet;1500;2017;31141.0;california;silver;Less than one day left
664;27700.0;chevrolet;1500;2017;20784.0;california;white;Less than one day left
665;17700.0;chevrolet;passenger;2017;52667.0;california;white;Less than one day left
666;16600.0;chevrolet;volt;2017;26003.0;california;;Less than one day left
667;63200.0;chevrolet;corvette;2016;4266.0;california;red;2 days left
669;19500.0;chevrolet;passenger;2018;44333.0;texas;white;1 days left
670;38800.0;chevrolet;tahoe;2019;36198.0;oklahoma;black;Less than one day left
671;37500.0;chevrolet;tahoe;2019;33331.0;oklahoma;silver;Less than one day left
672;35000.0;chevrolet;suburban;2019;43082.0;oklahoma;gray;Less than one day left
673;31100.0;chevrolet;camaro;2019;24561.0;oklahoma;gray;Less than one day left
674;22600.0;chevrolet;van;2019;13485.0;oklahoma;white;Less than one day left
675;22400.0;chevrolet;van;2019;15524.0;oklahoma;white;Less than one day left
676;22700.0;chevrolet;van;2019;8996.0;oklahoma;white;Less than one day left
677;13700.0;chevrolet;malibu;2019;47282.0;oklahoma;silver;Less than one day left
678;37100.0;chevrolet;suburban;2019;34470.0;oklahoma;black;Less than one day left
679;18500.0;chevrolet;colorado;2018;87264.0;oregon;green;Less than one day left
680;18300.0;chevrolet;2500;2017;114344.0;oregon;white;Less than one day left
681;19000.0;chevrolet;2500;2017;111635.0;oregon;white;Less than one day left
682;18500.0;chevrolet;1500;2017;103955.0;oregon;white;Less than one day left
685;32800.0;chevrolet;tahoe;2018;46915.0;oklahoma;gray;Less than one day left
686;12300.0;chevrolet;malibu;2018;53599.0;oklahoma;black;Less than one day left
687;19600.0;chevrolet;1500;2018;41672.0;oklahoma;gray;Less than one day left
688;13600.0;chevrolet;malibu;2018;36047.0;oklahoma;white;Less than one day left
689;7200.0;chevrolet;spark;2018;42561.0;oklahoma;red;Less than one day left
690;19900.0;chevrolet;1500;2018;40345.0;oklahoma;white;Less than one day left
691;13000.0;chevrolet;malibu;2018;41751.0;oklahoma;gray;Less than one day left
694;23800.0;chevrolet;1500;2017;85697.0;oklahoma;white;Less than one day left
695;17700.0;chevrolet;equinox;2019;25223.0;new york;white;Less than one day left
698;32100.0;chevrolet;2500;2018;55532.0;pennsylvania;white;Less than one day left
699;33100.0;chevrolet;2500;2019;72172.0;pennsylvania;white;Less than one day left
700;31600.0;chevrolet;2500;2018;57751.0;pennsylvania;white;Less than one day left
704;12800.0;chevrolet;1500;2014;177322.0;texas;white;Less than one day left
705;46800.0;chevrolet;1500;2019;36423.0;nebraska;gray;Less than one day left
706;21800.0;chevrolet;van;2019;23759.0;missouri;white;Less than one day left
708;22500.0;chevrolet;colorado;2017;65344.0;indiana;red;2 days left
709;35300.0;chevrolet;suburban;2018;51347.0;missouri;black;Less than one day left
710;16500.0;chevrolet;volt;2017;52322.0;oklahoma;black;Less than one day left
712;31500.0;chevrolet;1500;2017;59965.0;missouri;black;2 days left
713;34500.0;chevrolet;1500;2017;28739.0;missouri;silver;2 days left
714;8000.0;chevrolet;trax;2016;77429.0;west virginia;silver;2 days left
715;25000.0;chevrolet;1500;2017;20847.0;west virginia;white;Less than one day left
716;10700.0;chevrolet;trax;2016;44280.0;west virginia;red;2 days left
718;16500.0;chevrolet;equinox;2019;7622.0;west virginia;gold;2 days left
719;34000.0;chevrolet;traverse;2019;8067.0;west virginia;white;2 days left
720;14100.0;chevrolet;trax;2018;16502.0;west virginia;white;2 days left
721;38600.0;chevrolet;1500;2019;20681.0;west virginia;black;2 days left
725;8900.0;chevrolet;colorado;2015;85072.0;west virginia;white;2 days left
728;29000.0;chevrolet;1500;2015;69377.0;missouri;white;2 days left
729;17300.0;chevrolet;equinox;2020;15577.0;nevada;black;2 days left
730;30500.0;chevrolet;traverse;2020;23470.0;nevada;silver;2 days left
731;25000.0;chevrolet;impala;2020;18715.0;nevada;silver;Less than one day left
732;2800.0;chevrolet;cruze;2012;61258.0;illinois;white;Less than one day left
734;36400.0;chevrolet;suburban;2019;35705.0;nevada;silver;2 days left
735;34800.0;chevrolet;suburban;2019;48982.0;nevada;silver;2 days left
736;20700.0;chevrolet;ld;2019;33745.0;nevada;white;2 days left
737;32200.0;chevrolet;suburban;2019;42267.0;nevada;silver;2 days left
738;35300.0;chevrolet;tahoe;2019;46863.0;nevada;black;2 days left
739;33500.0;chevrolet;suburban;2019;36443.0;nevada;white;2 days left
740;13700.0;chevrolet;impala;2019;14939.0;nevada;black;Less than one day left
741;15900.0;chevrolet;malibu;2019;22026.0;nevada;black;Less than one day left
742;33200.0;chevrolet;suburban;2019;38278.0;nevada;black;2 days left
743;35500.0;chevrolet;suburban;2019;46149.0;nevada;silver;2 days left
744;29800.0;chevrolet;suburban;2018;48427.0;nevada;silver;2 days left
745;29800.0;chevrolet;suburban;2018;48807.0;nevada;gray;2 days left
746;29500.0;chevrolet;suburban;2018;52618.0;nevada;silver;2 days left
747;30300.0;chevrolet;suburban;2018;46494.0;nevada;white;2 days left
748;24300.0;chevrolet;1500;2018;56296.0;new york;black;Less than one day left
749;29800.0;chevrolet;suburban;2017;33909.0;nevada;silver;2 days left
750;29800.0;chevrolet;suburban;2017;33028.0;nevada;white;2 days left
753;11500.0;chevrolet;van;2017;105151.0;new jersey;white;Less than one day left
754;10400.0;chevrolet;van;2017;78368.0;new jersey;white;Less than one day left
760;12300.0;chevrolet;traverse;2017;83168.0;new york;gray;Less than one day left
761;14100.0;chevrolet;traverse;2017;58606.0;new york;white;Less than one day left
762;9000.0;chevrolet;van;2014;82020.0;nevada;white;Less than one day left
764;22500.0;chevrolet;van;2019;8150.0;texas;white;2 days left
765;22600.0;chevrolet;van;2019;6159.0;texas;white;2 days left
766;22600.0;chevrolet;van;2019;5938.0;texas;white;2 days left
767;22500.0;chevrolet;van;2019;9019.0;texas;white;2 days left
768;10200.0;chevrolet;malibu;2018;45836.0;texas;white;2 days left
769;42700.0;chevrolet;3500;2016;60215.0;texas;white;2 days left
770;21200.0;chevrolet;tahoe;2015;125507.0;texas;white;2 days left
772;22000.0;chevrolet;tahoe;2015;82785.0;texas;gray;2 days left
773;9600.0;chevrolet;1500;2014;150525.0;texas;white;2 days left
777;15500.0;chevrolet;equinox;2019;13532.0;florida;white;Less than one day left
778;35100.0;chevrolet;1500;2018;14751.0;kansas;black;2 days left
779;26300.0;chevrolet;camaro;2018;11150.0;kansas;gray;2 days left
780;15700.0;chevrolet;colorado;2016;91248.0;new jersey;white;Less than one day left
781;17600.0;chevrolet;1500;2016;65336.0;new jersey;white;Less than one day left
782;18600.0;chevrolet;1500;2016;48974.0;new jersey;white;Less than one day left
783;19100.0;chevrolet;1500;2016;40011.0;new jersey;white;Less than one day left
784;15200.0;chevrolet;equinox;2019;37444.0;north carolina;black;2 days left
785;16100.0;chevrolet;equinox;2019;43199.0;north carolina;white;2 days left
786;14800.0;chevrolet;equinox;2019;43589.0;north carolina;gray;2 days left
787;16700.0;chevrolet;equinox;2019;32870.0;north carolina;gray;2 days left
788;15300.0;chevrolet;equinox;2019;38826.0;north carolina;gray;2 days left
789;16500.0;chevrolet;equinox;2019;33739.0;north carolina;gray;2 days left
790;19600.0;chevrolet;passenger;2019;35309.0;north carolina;white;2 days left
791;15200.0;chevrolet;impala;2019;32248.0;north carolina;red;2 days left
792;15000.0;chevrolet;impala;2019;36165.0;north carolina;silver;2 days left
793;15500.0;chevrolet;impala;2019;29922.0;north carolina;gray;2 days left
794;15700.0;chevrolet;impala;2019;26848.0;north carolina;silver;2 days left
795;14800.0;chevrolet;impala;2019;41163.0;north carolina;gray;2 days left
796;9200.0;chevrolet;cruze;2017;32856.0;north carolina;red;2 days left
797;8200.0;chevrolet;impala;2017;100315.0;north carolina;black;2 days left
803;28300.0;chevrolet;ld;2019;27665.0;indiana;red;2 days left
804;27300.0;chevrolet;ld;2019;25427.0;indiana;black;2 days left
806;28300.0;chevrolet;colorado;2020;13886.0;indiana;silver;2 days left
807;18300.0;chevrolet;impala;2019;34538.0;indiana;silver;2 days left
808;22500.0;dodge;charger;2018;20575.0;wisconsin;silver;2 days left
809;22500.0;dodge;charger;2018;26026.0;wisconsin;gray;4 days left
811;16500.0;dodge;caravan;2019;27327.0;nebraska;gray;Less than one day left
812;14500.0;dodge;journey;2019;30229.0;nebraska;silver;Less than one day left
813;30000.0;dodge;charger;2019;43294.0;ontario;white;10 days left
814;30000.0;dodge;charger;2019;54309.0;ontario;orange;10 days left
815;30000.0;dodge;charger;2019;52822.0;ontario;white;10 days left
816;30000.0;dodge;charger;2019;45554.0;ontario;white;10 days left
817;30000.0;dodge;charger;2019;37538.0;ontario;white;10 days left
818;29500.0;dodge;charger;2019;35153.0;ontario;red;10 days left
819;21600.0;dodge;challenger;2019;23783.0;washington;white;2 days left
820;22600.0;dodge;charger;2019;30759.0;washington;black;2 days left
821;16300.0;dodge;caravan;2019;38922.0;washington;gray;2 days left
823;28800.0;dodge;durango;2019;19235.0;texas;;Less than one day left
824;22100.0;dodge;challenger;2019;9445.0;texas;gray;Less than one day left
825;14300.0;dodge;journey;2018;19164.0;north carolina;gray;Less than one day left
826;13700.0;dodge;caravan;2018;54106.0;north carolina;white;Less than one day left
827;29500.0;dodge;challenger;2017;32051.0;arizona;;Less than one day left
828;18500.0;dodge;journey;2017;14870.0;texas;gray;Less than one day left
830;43400.0;dodge;challenger;2015;7250.0;arizona;white;2 days left
831;46000.0;dodge;challenger;2015;10145.0;arizona;;Less than one day left
832;12500.0;dodge;journey;2018;59924.0;texas;silver;2 days left
833;13900.0;dodge;charger;2017;21304.0;florida;black;1 days left
834;13000.0;dodge;caravan;2018;52079.0;california;white;1 days left
835;13000.0;dodge;caravan;2018;54960.0;california;white;1 days left
837;17500.0;dodge;caravan;2019;23987.0;florida;black;2 days left
840;11500.0;dodge;caravan;2018;50193.0;pennsylvania;;Less than one day left
841;6500.0;dodge;journey;2017;74392.0;pennsylvania;black;Less than one day left
844;8350.0;dodge;journey;2017;90685.0;florida;white;13 days left
845;27900.0;dodge;charger;2017;54141.0;florida;orange;2 days left
849;20200.0;dodge;caravan;2019;24722.0;illinois;black;Less than one day left
850;29300.0;dodge;durango;2019;41198.0;illinois;silver;Less than one day left
851;31000.0;dodge;durango;2019;26353.0;illinois;black;Less than one day left
852;32400.0;dodge;durango;2019;28280.0;illinois;white;1 days left
854;21500.0;dodge;charger;2019;15340.0;texas;black;Less than one day left
855;23100.0;dodge;charger;2018;12265.0;michigan;silver;Less than one day left
856;4500.0;dodge;van;2014;94872.0;texas;gray;Less than one day left
857;24800.0;dodge;charger;2018;17946.0;michigan;silver;Less than one day left
858;23000.0;dodge;charger;2018;26996.0;michigan;gray;Less than one day left
859;26900.0;dodge;journey;2019;5775.0;wisconsin;gray;Less than one day left
860;21500.0;dodge;challenger;2018;6748.0;wisconsin;gray;2 days left
861;15700.0;dodge;journey;2018;38128.0;wisconsin;white;Less than one day left
862;15200.0;dodge;caravan;2018;41636.0;wisconsin;silver;Less than one day left
863;23300.0;dodge;charger;2018;5359.0;wisconsin;black;2 days left
865;20000.0;dodge;journey;2017;11346.0;wisconsin;green;Less than one day left
866;53000.0;dodge;challenger;2017;7415.0;illinois;;Less than one day left
869;21800.0;dodge;challenger;2019;6530.0;arizona;gray;2 days left
870;52000.0;dodge;charger;2016;17432.0;illinois;black;2 days left
871;19000.0;dodge;charger;2019;19636.0;arizona;black;2 days left
872;25000.0;dodge;challenger;2016;41748.0;illinois;;2 days left
873;36000.0;dodge;challenger;2016;13162.0;illinois;red;2 days left
874;17000.0;dodge;caravan;2019;32937.0;georgia;white;More than one week left
876;14900.0;dodge;journey;2017;34432.0;wisconsin;gray;Less than one day left
877;15000.0;dodge;caravan;2017;48162.0;wisconsin;;Less than one day left
878;12995.0;dodge;doors;2014;68310.0;massachusetts;gray;More than one week left
879;17750.0;dodge;doors;2014;48000.0;massachusetts;black;More than one week left
880;10295.0;dodge;doors;2014;105962.0;pennsylvania;black;More than one week left
881;16995.0;dodge;doors;2014;96575.0;connecticut;gray;More than one week left
882;25000.0;dodge;doors;2014;13239.0;new york;red;More than one week left
883;23995.0;dodge;doors;2014;24934.0;rhode island;white;More than one week left
884;14900.0;dodge;doors;2014;46859.0;new jersey;silver;More than one week left
885;15810.0;dodge;doors;2014;44468.0;new york;black;More than one week left
886;20227.0;dodge;doors;2014;62230.0;new york;black;More than one week left
887;20999.0;dodge;doors;2014;37082.0;new york;silver;More than one week left
888;22499.0;dodge;doors;2014;23964.0;new jersey;white;More than one week left
889;23495.0;dodge;doors;2014;11204.0;new york;black;More than one week left
890;25250.0;dodge;doors;2014;7608.0;new york;silver;More than one week left
891;15322.0;dodge;doors;2014;49982.0;new jersey;silver;More than one week left
892;21232.0;dodge;charger;2019;4950.0;texas;gray;4 days left
893;5800.0;dodge;journey;2013;111628.0;wisconsin;white;Less than one day left
895;17000.0;dodge;caravan;2018;36299.0;new jersey;gray;2 days left
896;13800.0;dodge;journey;2018;28469.0;florida;red;Less than one day left
897;30000.0;dodge;durango;2019;29086.0;missouri;gray;More than one week left
898;14800.0;dodge;caravan;2017;35991.0;florida;gray;Less than one day left
899;8500.0;dodge;journey;2017;62224.0;missouri;black;More than one week left
902;2500.0;dodge;van;2013;163260.0;tennessee;red;Less than one day left
903;28700.0;dodge;charger;2018;19636.0;california;black;Less than one day left
904;18500.0;dodge;challenger;2018;34272.0;california;gray;2 days left
905;17300.0;dodge;challenger;2018;42909.0;california;;2 days left
908;30700.0;dodge;durango;2017;20328.0;california;;Less than one day left
910;26500.0;dodge;durango;2019;28551.0;california;gray;More than one week left
911;20800.0;dodge;charger;2019;35098.0;california;gray;More than one week left
912;20800.0;dodge;charger;2019;35365.0;california;gray;More than one week left
914;18900.0;dodge;challenger;2019;27957.0;california;black;More than one week left
915;24000.0;dodge;durango;2019;30161.0;california;silver;More than one week left
916;38800.0;dodge;challenger;2015;26292.0;california;white;2 days left
917;24500.0;dodge;durango;2019;25780.0;california;white;More than one week left
918;24500.0;dodge;durango;2019;25032.0;california;black;More than one week left
920;24000.0;dodge;durango;2019;30630.0;california;gray;More than one week left
922;24000.0;dodge;durango;2019;30408.0;california;white;More than one week left
923;23500.0;dodge;durango;2019;35443.0;california;silver;More than one week left
924;4500.0;dodge;van;2014;95377.0;california;white;2 days left
925;25900.0;dodge;durango;2019;32724.0;california;silver;More than one week left
926;13900.0;dodge;caravan;2019;45089.0;california;gray;More than one week left
927;14200.0;dodge;journey;2019;35948.0;california;silver;More than one week left
928;15400.0;dodge;caravan;2019;41601.0;california;black;More than one week left
929;17500.0;dodge;challenger;2019;26370.0;texas;gray;1 days left
930;17500.0;dodge;caravan;2019;18271.0;texas;white;2 days left
931;18000.0;dodge;caravan;2019;9476.0;texas;white;1 days left
933;14100.0;dodge;caravan;2018;57394.0;texas;black;2 days left
934;13300.0;dodge;caravan;2018;42190.0;california;white;More than one week left
935;16200.0;dodge;caravan;2019;22591.0;oklahoma;black;Less than one day left
936;13300.0;dodge;caravan;2018;48681.0;california;gray;More than one week left
937;13100.0;dodge;caravan;2018;42621.0;california;silver;More than one week left
938;15500.0;dodge;caravan;2017;27761.0;california;silver;More than one week left
940;28400.0;dodge;durango;2019;14355.0;colorado;gray;3 days left
941;17400.0;dodge;caravan;2019;9467.0;colorado;gray;3 days left
943;20700.0;dodge;challenger;2019;18313.0;virginia;gray;2 days left
944;20300.0;dodge;challenger;2019;19506.0;virginia;black;2 days left
945;14000.0;dodge;journey;2018;14750.0;oklahoma;black;Less than one day left
946;22000.0;dodge;challenger;2019;11280.0;virginia;green;2 days left
947;17200.0;dodge;journey;2019;13944.0;virginia;black;2 days left
949;17500.0;dodge;journey;2019;12690.0;virginia;gray;2 days left
952;16300.0;dodge;caravan;2019;28289.0;florida;red;Less than one day left
953;15700.0;dodge;caravan;2019;38041.0;florida;red;Less than one day left
954;10000.0;dodge;journey;2017;52386.0;florida;silver;2 days left
955;23100.0;dodge;charger;2019;34391.0;florida;white;Less than one day left
956;14900.0;dodge;caravan;2019;39515.0;florida;red;Less than one day left
957;16700.0;dodge;journey;2019;22074.0;virginia;orange;2 days left
958;16300.0;dodge;caravan;2019;28782.0;florida;white;Less than one day left
959;25800.0;dodge;durango;2019;30092.0;north carolina;red;Less than one day left
960;23800.0;dodge;challenger;2019;26443.0;north carolina;black;Less than one day left
961;16800.0;dodge;journey;2019;28981.0;north carolina;red;Less than one day left
962;15500.0;dodge;journey;2019;32865.0;north carolina;white;Less than one day left
964;26900.0;dodge;durango;2019;16397.0;arizona;white;Less than one day left
965;16900.0;dodge;caravan;2019;16176.0;arizona;white;Less than one day left
966;19500.0;dodge;caravan;2019;1091.0;arizona;gray;Less than one day left
967;15400.0;dodge;caravan;2019;17472.0;arizona;black;Less than one day left
969;17000.0;dodge;charger;2019;10341.0;california;red;1 days left
970;34000.0;dodge;durango;2019;19695.0;new jersey;black;Less than one day left
971;13700.0;dodge;journey;2017;51041.0;pennsylvania;black;1 days left
972;19100.0;dodge;challenger;2018;22646.0;west virginia;white;2 days left
973;11800.0;dodge;journey;2018;18138.0;west virginia;white;2 days left
974;27500.0;dodge;durango;2019;23987.0;nevada;gray;Less than one day left
975;26900.0;dodge;durango;2019;17160.0;nevada;black;Less than one day left
976;27100.0;dodge;durango;2019;26929.0;nevada;white;Less than one day left
977;27200.0;dodge;durango;2019;25815.0;nevada;white;Less than one day left
978;9000.0;dodge;caravan;2017;81992.0;florida;silver;4 days left
979;22500.0;dodge;challenger;2019;5000.0;south carolina;gray;Less than one day left
981;4500.0;dodge;van;2013;107224.0;florida;white;4 days left
983;21500.0;dodge;charger;2019;35153.0;pennsylvania;black;6 days left
984;18800.0;dodge;challenger;2019;26474.0;pennsylvania;orange;6 days left
985;21800.0;dodge;charger;2019;30943.0;pennsylvania;red;6 days left
986;20300.0;dodge;challenger;2019;17154.0;pennsylvania;black;6 days left
987;8200.0;dodge;van;2016;79637.0;south carolina;white;Less than one day left
988;19000.0;dodge;caravan;2019;12123.0;pennsylvania;red;6 days left
990;19500.0;dodge;caravan;2019;10221.0;pennsylvania;black;6 days left
992;19500.0;dodge;challenger;2019;13457.0;pennsylvania;gray;6 days left
993;8500.0;dodge;van;2014;69936.0;missouri;black;Less than one day left
994;20500.0;dodge;challenger;2019;13520.0;pennsylvania;gray;6 days left
997;28500.0;dodge;durango;2019;17896.0;pennsylvania;silver;6 days left
998;21900.0;dodge;caravan;2019;11088.0;pennsylvania;silver;6 days left
999;15800.0;dodge;caravan;2019;29567.0;nevada;black;2 days left
1000;33000.0;dodge;durango;2019;15655.0;colorado;white;Less than one day left
1001;22700.0;dodge;challenger;2019;26428.0;nevada;black;2 days left
1002;21900.0;dodge;charger;2019;29003.0;pennsylvania;white;6 days left
1003;19300.0;dodge;charger;2019;32229.0;pennsylvania;red;6 days left
1004;30700.0;dodge;durango;2019;26503.0;nevada;black;2 days left
1005;19300.0;dodge;challenger;2019;15446.0;pennsylvania;black;6 days left
1006;13750.0;dodge;caravan;2014;128556.0;california;white;Less than one day left
1007;16400.0;dodge;caravan;2019;23369.0;nevada;silver;2 days left
1008;19500.0;dodge;caravan;2019;8767.0;pennsylvania;black;6 days left
1009;15100.0;dodge;caravan;2019;48319.0;nevada;white;2 days left
1010;28500.0;dodge;durango;2019;15275.0;pennsylvania;black;6 days left
1011;15300.0;dodge;caravan;2019;33826.0;nevada;white;2 days left
1012;20300.0;dodge;challenger;2019;16679.0;pennsylvania;white;6 days left
1013;22000.0;dodge;charger;2019;26184.0;pennsylvania;gray;6 days left
1014;16700.0;dodge;journey;2019;21203.0;nevada;gray;2 days left
1015;19300.0;dodge;challenger;2019;17870.0;pennsylvania;black;6 days left
1016;34100.0;dodge;durango;2019;17909.0;michigan;gray;Less than one day left
1017;14600.0;dodge;caravan;2019;41126.0;nevada;silver;2 days left
1018;18200.0;dodge;caravan;2019;14098.0;pennsylvania;red;6 days left
1019;33800.0;dodge;durango;2019;15003.0;michigan;black;Less than one day left
1020;15900.0;dodge;journey;2019;29105.0;nevada;black;2 days left
1021;16500.0;dodge;caravan;2019;34794.0;pennsylvania;black;6 days left
1022;29600.0;dodge;durango;2019;20034.0;michigan;silver;Less than one day left
1023;14100.0;dodge;caravan;2019;46942.0;nevada;black;2 days left
1024;18200.0;dodge;caravan;2019;14753.0;pennsylvania;white;6 days left
1025;18200.0;dodge;caravan;2019;14359.0;pennsylvania;black;6 days left
1026;24300.0;dodge;charger;2019;34922.0;michigan;black;Less than one day left
1027;15400.0;dodge;journey;2019;20944.0;nevada;white;2 days left
1028;19000.0;dodge;journey;2019;9877.0;pennsylvania;white;6 days left
1029;19000.0;dodge;journey;2019;8949.0;pennsylvania;black;6 days left
1030;27800.0;dodge;challenger;2017;13627.0;georgia;gray;Less than one day left
1031;18200.0;dodge;journey;2019;18291.0;pennsylvania;black;6 days left
1032;15000.0;dodge;journey;2018;38029.0;pennsylvania;white;6 days left
1033;19200.0;dodge;caravan;2017;32593.0;michigan;gray;Less than one day left
1034;15500.0;dodge;caravan;2018;37352.0;pennsylvania;red;6 days left
1035;24900.0;dodge;challenger;2017;23030.0;michigan;green;Less than one day left
1036;15500.0;dodge;journey;2018;30671.0;pennsylvania;red;6 days left
1038;18400.0;dodge;journey;2017;15027.0;michigan;black;Less than one day left
1039;14700.0;dodge;caravan;2018;29115.0;florida;white;Less than one day left
1042;17200.0;dodge;caravan;2019;35401.0;minnesota;silver;Less than one day left
1043;18700.0;dodge;caravan;2019;20279.0;minnesota;red;Less than one day left
1044;32000.0;dodge;durango;2019;26090.0;minnesota;red;Less than one day left
1046;19400.0;dodge;caravan;2019;14906.0;minnesota;black;Less than one day left
1047;17300.0;dodge;caravan;2019;34407.0;minnesota;black;Less than one day left
1048;16700.0;dodge;journey;2019;18049.0;minnesota;orange;Less than one day left
1049;19100.0;dodge;caravan;2019;18132.0;minnesota;white;Less than one day left
1051;32000.0;dodge;durango;2019;25456.0;minnesota;black;Less than one day left
1052;16900.0;dodge;caravan;2019;38375.0;minnesota;silver;Less than one day left
1053;18000.0;dodge;charger;2017;39792.0;massachusetts;black;6 days left
1054;17800.0;dodge;caravan;2019;30403.0;minnesota;white;Less than one day left
1055;18000.0;dodge;caravan;2019;28252.0;minnesota;white;Less than one day left
1056;17500.0;dodge;caravan;2019;31904.0;minnesota;white;Less than one day left
1057;14500.0;dodge;caravan;2018;24336.0;nevada;silver;2 days left
1058;18500.0;dodge;caravan;2019;23961.0;minnesota;silver;Less than one day left
1059;18600.0;dodge;caravan;2019;22919.0;minnesota;silver;Less than one day left
1060;32000.0;dodge;durango;2019;22863.0;minnesota;red;Less than one day left
1061;17000.0;dodge;caravan;2019;38817.0;minnesota;black;Less than one day left
1062;16000.0;dodge;caravan;2019;48854.0;minnesota;white;Less than one day left
1063;18000.0;dodge;caravan;2019;27288.0;minnesota;white;Less than one day left
1064;15900.0;dodge;charger;2020;5284.0;pennsylvania;orange;2 days left
1068;20800.0;dodge;van;2013;33739.0;nevada;gold;2 days left
1070;18300.0;dodge;challenger;2019;13906.0;pennsylvania;black;2 days left
1071;21000.0;dodge;charger;2019;20601.0;pennsylvania;gray;3 days left
1072;1300.0;dodge;van;2013;135561.0;tennessee;white;2 days left
1073;11900.0;dodge;charger;2019;23421.0;pennsylvania;gray;2 days left
1074;950.0;dodge;van;2012;145174.0;maryland;white;2 days left
1075;26800.0;dodge;durango;2019;21309.0;pennsylvania;gray;2 days left
1076;800.0;dodge;van;2012;217576.0;north carolina;orange;2 days left
1077;21000.0;dodge;caravan;2019;10350.0;pennsylvania;white;2 days left
1079;33500.0;dodge;durango;2019;8605.0;pennsylvania;white;3 days left
1081;21000.0;dodge;caravan;2019;10170.0;pennsylvania;gray;2 days left
1082;26800.0;dodge;durango;2019;22272.0;pennsylvania;silver;2 days left
1083;5700.0;dodge;van;2016;101906.0;texas;black;2 days left
1084;18500.0;dodge;challenger;2019;27019.0;pennsylvania;green;2 days left
1085;33000.0;dodge;durango;2019;10930.0;pennsylvania;white;3 days left
1086;11000.0;dodge;caravan;2019;73552.0;texas;silver;2 days left
1087;15800.0;dodge;caravan;2019;37107.0;pennsylvania;black;2 days left
1089;16300.0;dodge;caravan;2019;36993.0;pennsylvania;white;2 days left
1091;12800.0;dodge;caravan;2019;33580.0;pennsylvania;;2 days left
1093;18300.0;dodge;journey;2019;10447.0;pennsylvania;silver;2 days left
1094;16000.0;dodge;charger;2019;10229.0;illinois;silver;Less than one day left
1095;21000.0;dodge;caravan;2019;6269.0;pennsylvania;gray;3 days left
1097;33000.0;dodge;durango;2019;10631.0;illinois;gray;2 days left
1098;14700.0;dodge;caravan;2019;44381.0;pennsylvania;silver;2 days left
1099;33000.0;dodge;durango;2019;13960.0;illinois;silver;2 days left
1100;15900.0;dodge;caravan;2019;14051.0;pennsylvania;white;2 days left
1101;33000.0;dodge;durango;2019;20800.0;illinois;gray;2 days left
1102;33000.0;dodge;durango;2019;8873.0;illinois;gray;2 days left
1103;32500.0;dodge;durango;2019;15502.0;illinois;black;2 days left
1104;33000.0;dodge;durango;2019;9669.0;illinois;silver;2 days left
1105;13000.0;dodge;caravan;2018;50873.0;virginia;black;More than one week left
1106;33000.0;dodge;durango;2019;14117.0;illinois;white;2 days left
1107;16500.0;dodge;charger;2019;46820.0;illinois;red;Less than one day left
1108;33000.0;dodge;durango;2019;7247.0;illinois;gray;2 days left
1110;33500.0;dodge;durango;2019;9023.0;illinois;white;2 days left
1111;48000.0;dodge;durango;2018;8047.0;pennsylvania;white;3 days left
1112;54500.0;dodge;durango;2019;3966.0;illinois;red;2 days left
1113;13200.0;dodge;caravan;2018;41014.0;pennsylvania;silver;3 days left
1114;31500.0;dodge;durango;2018;20907.0;illinois;white;2 days left
1115;17400.0;dodge;durango;2017;89795.0;illinois;red;2 days left
1116;26000.0;dodge;durango;2017;57158.0;illinois;white;2 days left
1119;21000.0;dodge;charger;2018;12554.0;texas;gray;10 days left
1122;15800.0;dodge;caravan;2019;28038.0;michigan;silver;Less than one day left
1123;16900.0;dodge;journey;2019;26643.0;michigan;red;Less than one day left
1124;25000.0;dodge;durango;2019;36127.0;michigan;white;Less than one day left
1126;15600.0;dodge;caravan;2019;29926.0;michigan;black;Less than one day left
1127;23800.0;dodge;durango;2019;36750.0;north carolina;white;2 days left
1128;16800.0;dodge;journey;2019;27312.0;michigan;black;Less than one day left
1129;22700.0;dodge;durango;2019;49575.0;north carolina;white;2 days left
1130;23300.0;dodge;challenger;2019;30279.0;north carolina;red;2 days left
1131;23500.0;dodge;challenger;2019;25825.0;north carolina;white;2 days left
1132;25500.0;dodge;durango;2019;32474.0;north carolina;silver;2 days left
1133;21800.0;dodge;challenger;2019;30585.0;north carolina;white;2 days left
1134;22800.0;dodge;durango;2019;36203.0;north carolina;gray;2 days left
